// Incomplete, bruteforced from opcodes-918.txt and opcodes-919.txt and opcodes-920.txt and opcodes-913-546.txt
db_find_refine,936
db_getrowtable,1335
detail_soundvol,269
detail_musicvol,321
detail_bgsoundvol,539
detail_speechvol,564
detail_loginvol,1294
detailget_soundvol,848
detailget_musicvol,451
detailget_bgsoundvol,1496
detailget_speechvol,433
detailget_loginvol,268
autosetup_setultra,1019
unknown_command_7,780
unknown_command_8,252
autosetup_dosetupstatus,1460
unknown_command_14,641
unknown_command_15,351
unknown_command_16,553
unknown_command_17,968
unknown_command_18,952
unknown_command_19,150
unknown_command_20,1470
cc_setswipeunknown1,892
cc_setswipeunknown2,1049
cc_setswipeflags,934
cc_setswipedeadtime,932
cc_setswipedeadzone,115
if_setonswipevertical,33
if_setonswipehorizontal,706
if_setonswipecomplete,367
unknown_command_21,990
if_setonpinchvertical,394
if_setonpinchhorizontal,994
if_setpinchdeadzone,397
if_setpinchflags,1230
unknown_command_26,867
minimenu_close,844
unknown_command_27,1006
unknown_command_28,366
unknown_command_29,38
unknown_command_34,1482
unknown_command_35,120
unknown_command_36,313
interface_setpickingradius,49
unknown_command_38,906
unknown_command_39,1253
battery_ischarging,297
battery_getlevelpercent,1440
window_getinsets,495
if_setsubtractinsets,653
unknown_command_40,1454
unknown_command_41,145
shop_applypendingtransactions,1089
unknown_command_42,403
show_software_license,441
marketing_init,456
marketing_sendevent,206
notifications_init,505
notifications_opensettings,1238
openurlraw,1165
shop_opencategories,826
notifications_sendlocal,866
notifications_sendgroupedlocal,1322
notifications_cancellocal,31
shop_purchaseitem,15
shop_purchaseitemstatus,160
unknown_command_45,1257
setwalkmarker,345
clientoption_exists,644
clientoption_canmod,719
clientoption_canset,645
clientoption_set,1277
clientoption_get,1355
unknown_command_48,1366
unknown_command_49,551
unknown_command_50,1356
unknown_command_51,238
achievement_reqstate,1141
achievement_getname,1233
achievement_getdesc,942
achievement_getreward,874
achievement_runescore,945
achievement_getgraceday,747
achievement_category,1113
achievement_subcat,1311
achievement_sprite,1342
achievement_allprereqmet,743
achievement_largest_prereq,692
achievement_prereq_met,1070
achievement_stat_prereq_count,538
achievement_stat_prereq_met,1140
achievement_stat_prereq_description,1205
achievement_varp_prereq_count,32
achievement_varp_prereq_met,1075
achievement_varp_prereq_description,1515
achievement_varbit_prereq_count,1499
achievement_varbit_prereq_met,1441
achievement_varbit_prereq_description,662
achievement_varp_testbit_prereq_count,1299
achievement_varp_testbit_prereq_met,916
achievement_varp_testbit_prereq_description,642
achievement_varbit_testbit_prereq_count,1501
achievement_varbit_testbit_prereq_met,78
achievement_varbit_testbit_prereq_description,1315
achievement_achievement_prereq_count,888
achievement_achievement_prereq_met,465
achievement_achievement_prereq,1046
achievement_quest_prereq_count,1486
achievement_quest_prereq_met,24
achievement_quest_prereq,767
achievement_stat_req_count,893
achievement_stat_req_met,1416
achievement_stat_req_name,1266
achievement_varp_req_count,440
achievement_varp_req_met,785
achievement_varp_req_name,1094
achievement_varbit_req_count,878
achievement_varbit_req_met,1077
achievement_varbit_req_name,311
achievement_varp_testbit_req_count,1295
achievement_varp_testbit_req_met,240
achievement_varp_testbit_req_name,537
achievement_varbit_testbit_req_count,1450
achievement_varbit_testbit_req_met,103
achievement_varbit_testbit_req_name,1225
achievement_achievement_req_count,972
achievement_achievement_req_met,290
achievement_achievement_req,755
achievement_quest_req_count,1367
achievement_quest_req_met,648
achievement_quest_req,807
achievement_total_runescore,923
achievement_getcategorycount,652
achievement_getsubcatcount,1040
achievement_getgracedcount,629
achievement_findcategory,133
achievement_findsubcat,965
achievement_findgraced,964
achievement_findnext,591
achievement_gethide,353
achievement_getmembers,528
achievement_getprogress,560
achievement_is_checklist,421
steam_setachievement,1119
steam_storestats,1384
