// Incomplete, bruteforced from opcodes-844-1051.txt and opcodes-840-550.txt
// Cache 850 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 840 is still covered by 550 and 1911.
detailcanset_antialiasing_quality,822
detailcanset_particles,299
detailcanset_buildarea,220
detailcanset_maxscreensize,17
detailcanset_toolkit_default,867
detailcanset_skydetail,1191
get_npc_vislevel,655
get_entity_screen_position,197
if_get_gamescreen,126
if_set_gamescreen_enabled,842
get_entity_overlay_height,710
get_npc_stat,499
is_targeted_entity,496
npc_type,1106
get_loc_screen_position,602
get_obj_screen_position,206
get_loc_overlay_height,725
get_obj_overlay_height,598
get_loc_bounding_box,660
get_obj_bounding_box,443
get_entity_bounding_box,902
quest_finished,664
sound_group_start,88
sound_group_stop,307
sound_vorbis_volume_rate_group,159
preload_percent,192
shader_preload_throttle,426
fps_stats,1017
runjavascript,297
player_group_find,1118
player_group_member_count,648
player_group_member_get_same_world_var,731
player_group_member_get_rank,472
player_group_member_get_team,952
player_group_member_get_last_seen_node_id,311
player_group_member_get_status,950
player_group_member_is_online,1159
player_group_member_get_displayname,1108
player_group_member_get_join_xp,627
player_group_member_is_owner,840
player_group_banned_count,400
player_group_banned_get_displayname,957
player_group_get_displayname,39
player_group_get_max_size,430
player_group_get_overall_status,553
player_group_get_owner_slot,341
ttv_login,153
ttv_login_getstate,734
ttv_logout,830
ttv_library_getstate,518
ttv_library_request,524
ttv_stream_getstate,219
ttv_stream_start,99
ttv_stream_stop,1198
ttv_stream_settitle,143
ttv_stream_getviewers,180
ttv_stream_getquality,793
ttv_chat_sendmessage,368
ttv_webcam_supported,1181
ttv_webcam_getdevice_count,1041
ttv_webcam_getdevice_byindex,458
ttv_webcam_getdevice_byuniquename,391
ttv_webcam_getcap_count,1184
ttv_webcam_getcap_byindex,873
ttv_webcam_getcap_byuniqueid,963
ttv_webcam_start,242
ttv_webcam_stop,357
ttv_webcam_flip,109
ttv_livestreams_update,539
ttv_livestreams_getstream_start,392
ttv_livestreams_getstream_next,92
ttv_hasprerequisites,437
os_ismac,865
os_iswindows,390
os_islinux,313
os_physicalmemorysize,675
