// Incomplete, bruteforced from opcodes-814-1169.txt and opcodes-809-1183.txt
// Build 813 has no gamepack (the mirror lists 812 then 814), so this holds only what scripts show.
activeclansettings_find_listened,1037
activeclansettings_find_affined,733
activeclansettings_getclanname,287
activeclansettings_getallowunaffined,321
activeclansettings_getranktalk,1004
activeclansettings_getrankkick,1141
activeclansettings_getaffinedcount,180
activeclansettings_getaffineddisplayname,862
activeclansettings_getaffinedrank,470
activeclansettings_getbannedcount,342
activeclansettings_getbanneddisplayname,1118
activeclansettings_getcurrentowner_slot,708
activeclansettings_getaffinedslot,199
activeclansettings_getsortedaffinedslot,86
activeclanchannel_find_listened,648
activeclanchannel_find_affined,1039
activeclanchannel_getclanname,614
activeclanchannel_getrankkick,364
activeclanchannel_getranktalk,1025
activeclanchannel_getusercount,761
activeclanchannel_getuserdisplayname,657
activeclanchannel_getuserrank,49
activeclanchannel_getuserworld,1043
activeclanchannel_getuserslot,785
activeclanchannel_getsorteduserslot,611
clanprofile_find,896
stockmarket_getoffertype,20
stockmarket_getofferitem,601
stockmarket_getofferprice,324
stockmarket_getoffercount,247
stockmarket_getoffercompletedcount,552
stockmarket_getoffercompletedgold,739
stockmarket_isofferempty,691
stockmarket_isofferfinished,1084
stockmarket_isofferadding,399
add,282
sub,385
multiply,1000
divide,72
random,952
randominc,28
interpolate,1068
setbit,152
clearbit,240
testbit,478
modulo,319
pow,876
invpow,754
and,1033
or,752
min,863
max,847
scale,394
random_sound_pitch,732
hsvtorgb,393
append_num,362
append,284
append_signnum,898
get_col_tag,186
lowercase,246
fromdate,872
tostring,201
compare,343
paraheight,10
parawidth,413
text_switch,941
escape,185
append_char,571
char_isprintable,671
char_isalphanumeric,612
char_isnumeric,632
string_length,957
substring,1090
removetags,992
string_indexof_char,1001
string_indexof_string,635
char_tolowercase,975
char_touppercase,280
tostring_localised,823
stringwidth,313
string_distance,19
format_datetime_from_minutes,690
clanforumqfc_tostring,658
oc_name,206
oc_iop,702
oc_cost,402
oc_stackable,463
oc_category,1071
oc_hasvarobj,420
oc_cert,451
oc_uncert,276
oc_wearpos,440
oc_wearpos2,378
oc_members,1080
oc_param,806
oc_icursor,407
oc_find,556
oc_findnext,787
oc_minimenu_colour,1040
nc_param,948
struct_param,676
seqlength,1120
bas_getanim_ready,903
chat_gethistory_byuid,616
chat_getfilter_private,73
chat_playername,928
chat_getfilter_trade,456
chat_getnextuid,988
chat_getprevuid,831
chat_playername_unfiltered,932
chatcat_getdesc,435
chatcat_getsubcatcount,619
chatcat_getsubcat,406
chatcat_getphrasecount,1138
chatcat_getphrase,781
chatphrase_gettext,777
chatphrase_getautoresponsecount,9
chatphrase_getautoresponse,137
chatcat_getsubcatshortcut,1075
chatphrase_getdynamiccommandcount,622
chatphrase_getdynamiccommand,448
chatphrase_getdynamiccommandparam_enum,995
chatphrase_find,238
chatphrase_findnext,550
keyheld_alt,266
keyheld_ctrl,838
keyheld_shift,1095
worldmap_3dview_active,729
worldmap_3dview_getcoordfine,163
worldmap_getmap,1024
worldmap_getmapname,859
worldmap_getsize,1093
worldmap_getdisplayposition,736
worldmap_getconfigorigin,338
worldmap_getconfigbounds,387
worldmap_listelement_start,637
worldmap_listelement_next,586
worldmap_coordinmap,808
worldmap_getconfigzoom,67
worldmap_isloaded,592
worldmap_getdisplaycoord,683
worldmap_getdisableelements,911
worldmap_getcurrentmap,930
fullscreen_enter,541
fullscreen_modecount,973
fullscreen_getmode,524
fullscreen_lastmode,650
getwindowmode,1002
getdefaultwindowmode,722
spline_length,159
minimenuopen,156
getclipboard,670
java_version_supported,480
has_html5,120
cam_getangle_xa,1085
cam_getangle_ya,1092
cam2_getcontrolmode,960
cam2_getlookatmode,68
cam2_getpositionmode,774
cam2_getpositionentity_angleoffsets,955
cam2_addeffect_shake,775
cam2_addeffect_ztilt,836
cam2_isenabled,950
login_hoptime,421
login_ban_duration,854
create_reply,705
create_email_validate_reply,961
create_name_validate_reply,490
create_suggest_name_reply,104
create_connect_reply,855
login_disallowresult,360
lobby_entergamereply,1150
lobby_enterlobbyreply,797
has_signonkey,1137
userflowflags,998
create_under13,136
login_last_transfer_reply,114
login_inprogress,318
login_queue_position,283
login_disallowtrigger,388
login_accountappeal,811
detailget_brightness,1077
detailget_removeroofs_option,956
detailget_grounddecor_on,277
detailget_flickering_on,713
detailget_spotshadows_on,656
detailget_hardshadows,796
detailget_lightdetail_high,684
detailget_waterdetail_high,936
detailget_fog_on,252
detailget_antialiasing,594
detailget_antialiasing_quality,30
detailget_stereo,600
detailget_soundvol,1073
detailget_musicvol,727
detailget_bgsoundvol,271
detailget_particles,531
detailget_antialiasing_default,477
detailget_bloom,484
detailget_idleanims,1008
detailget_groundblending,103
detailget_toolkit,1029
detailget_toolkit_default,1047
detailget_cpuusage,815
detailget_texturing,452
detailget_maxscreensize,994
detailget_speechvol,356
detailget_loginvol,1041
detailget_safemode,542
detailget_canchoosesafemode,830
detailget_chosesafemode,920
detailget_skydetail,479
detailget_drawdistance,1139
viewport_geteffectivesize,707
viewport_getzoom,229
date_minutes,491
date_runeday,242
date_runeday_fromdate,304
date_runeday_todate,200
date_minutes_fromruneday,925
worldlist_fetch,795
worldlist_start,750
worldlist_next,181
worldlist_switch,562
worldlist_specific,1103
worldlist_specific_thisworld,405
mec_text,134
mec_sprite,844
mec_category,711
mec_param,188
userdetail_quickchat,742
userdetail_lobby_membership,1086
userdetail_lobby_unreadmessages,913
userdetail_lobby_lastloginday,1121
userdetail_lobby_emailstatus,564
userdetail_lobby_ccexpiry,579
userdetail_lobby_graceexpiry,32
userdetail_dob,235
userdetail_lobby_playage,1104
autosetup_dosetup,850
autosetup_getlevel,857
video_advert_play,386
video_advert_has_finished,369
detailcanmod_grounddecor,1131
detailcanmod_spotshadows,610
detailcanmod_hardshadows,1050
detailcanmod_antialiasing,783
detailcanmod_antialiasing_quality,914
detailcanmod_particles,465
detailcanmod_buildarea,582
detailcanmod_bloom,681
