// Cache 848 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 869 is still covered by its seven other caches.
paraline,35
text_switch,220
escape,149
append_char,443
char_isprintable,1195
char_isalphanumeric,733
char_isnumeric,834
string_length,847
substring,535
removetags,61
string_indexof_char,1210
string_indexof_string,1101
char_tolowercase,981
char_touppercase,1197
tostring_localised,663
stringwidth,32
string_distance,100
format_datetime_from_minutes,280
clanforumqfc_tostring,268
oc_name,798
oc_iop,79
oc_cost,325
oc_stackable,69
oc_category,441
oc_hasvarobj,474
oc_cert,862
oc_uncert,679
oc_wearpos,293
oc_wearpos2,1248
oc_members,476
oc_param,1139
oc_icursor,277
oc_find,300
oc_findnext,514
oc_minimenu_colour,489
nc_param,37
lc_param,695
struct_param,1177
seqlength,852
bas_getanim_ready,1005
chat_getfilter_public,756
chat_gethistory_byuid,753
chat_lastuid,1072
chat_clear,935
chat_getfilter_private,162
chat_playername,297
chat_getfilter_trade,409
chat_getnextuid,1168
chat_getprevuid,332
chat_playername_unfiltered,586
chatcat_getdesc,882
chatcat_getsubcatcount,1091
chatcat_getsubcat,840
chatcat_getphrasecount,860
chatcat_getphrase,625
chatphrase_gettext,303
chatphrase_getautoresponsecount,1240
chatphrase_getautoresponse,368
chatcat_getsubcatshortcut,63
chatphrase_getdynamiccommandcount,321
chatphrase_getdynamiccommand,727
chatphrase_getdynamiccommandparam_enum,214
chatphrase_find,819
chatphrase_findnext,1187
keyheld_alt,1029
keyheld_ctrl,45
keyheld_shift,493
fullscreen_enter,990
fullscreen_modecount,568
fullscreen_getmode,697
fullscreen_lastmode,440
getwindowmode,717
getdefaultwindowmode,329
spline_length,760
minimenuopen,1095
getclipboard,205
has_html5,973
has_nxt,991
cam_getangle_xa,987
cam_getangle_ya,418
cam2_getcontrolmode,1218
cam2_getlookatmode,1114
cam2_getpositionmode,1075
cam2_getpositionentity_angleoffsets,599
cam2_addeffect_shake,701
cam2_addeffect_ztilt,1127
cam2_isenabled,1082
login_reply,401
login_hoptime,615
login_ban_duration,1067
create_reply,902
create_email_validate_reply,2
create_name_validate_reply,519
create_suggest_name_reply,507
create_connect_reply,508
login_disallowresult,1098
lobby_entergamereply,1230
lobby_enterlobbyreply,154
userflowflags,1003
create_under13,95
login_last_transfer_reply,767
login_inprogress,439
login_queue_position,425
login_disallowtrigger,929
login_accountappeal,590
viewport_geteffectivesize,58
viewport_getzoom,1213
date_minutes,577
date_runeday,347
date_runeday_fromdate,712
date_runeday_todate,748
date_minutes_fromruneday,1169
worldlist_fetch,820
worldlist_start,271
worldlist_next,757
worldlist_switch,24
worldlist_specific,298
worldlist_specific_thisworld,598
if_gettop,1188
mec_text,473
mec_category,561
mec_param,274
userdetail_quickchat,1076
userdetail_lobby_membership,1220
userdetail_lobby_unreadmessages,1001
userdetail_lobby_lastloginday,435
userdetail_lobby_emailstatus,890
userdetail_lobby_ccexpiry,68
userdetail_lobby_graceexpiry,348
userdetail_dob,1250
userdetail_lobby_playage,111
autosetup_dosetup,110
autosetup_getlevel,27
video_advert_play,559
video_advert_has_finished,604
get_npc_vislevel,510
get_entity_screen_position,589
if_get_gamescreen,1142
if_set_gamescreen_enabled,212
get_entity_overlay_height,533
get_npc_stat,126
is_npc_active,720
is_targeted_entity,345
npc_type,1107
get_loc_screen_position,951
get_obj_screen_position,289
get_loc_overlay_height,438
get_obj_overlay_height,264
get_loc_bounding_box,597
get_obj_bounding_box,335
get_entity_bounding_box,18
quest_finished,259
sound_group_start,821
sound_group_stop,65
sound_vorbis_volume_rate_group,595
preload_percent,706
shader_preload_throttle,101
fps_stats,555
runjavascript,526
worldmap_3dview_active,500
worldmap_3dview_getcoordfine,529
worldmap_getmap,765
worldmap_getmapname,492
worldmap_getsize,356
worldmap_getdisplayposition,1227
worldmap_getconfigorigin,313
worldmap_getconfigbounds,1054
worldmap_listelement_start,703
worldmap_listelement_next,180
worldmap_coordinmap,346
worldmap_getconfigzoom,1183
worldmap_isloaded,691
worldmap_getdisplaycoord,692
worldmap_getdisableelements,57
worldmap_getcurrentmap,175
player_group_find,319
player_group_member_count,433
player_group_member_get_same_world_var,1242
player_group_member_get_rank,952
player_group_member_get_team,200
player_group_member_get_last_seen_node_id,777
player_group_member_get_status,351
player_group_member_is_online,588
player_group_member_get_displayname,222
player_group_member_get_join_xp,288
player_group_member_is_owner,477
player_group_banned_count,1217
player_group_banned_get_displayname,99
player_group_get_displayname,954
player_group_get_max_size,992
player_group_get_overall_status,269
player_group_get_owner_slot,74
ttv_login,1228
ttv_login_getstate,1023
ttv_logout,945
ttv_library_getstate,302
ttv_library_request,242
ttv_stream_getstate,376
ttv_stream_start,758
ttv_stream_stop,1255
ttv_stream_settitle,594
ttv_stream_getviewers,1086
ttv_stream_getquality,938
ttv_chat_sendmessage,886
ttv_webcam_supported,1258
ttv_webcam_getdevice_count,17
ttv_webcam_getdevice_byindex,499
ttv_webcam_getdevice_byuniquename,112
ttv_webcam_getcap_count,261
ttv_webcam_getcap_byindex,1245
ttv_webcam_getcap_byuniqueid,742
ttv_webcam_start,768
ttv_webcam_stop,381
ttv_webcam_flip,237
ttv_livestreams_update,865
ttv_livestreams_getstream_start,71
ttv_livestreams_getstream_next,1131
ttv_hasprerequisites,618
os_ismac,5
os_iswindows,752
os_islinux,1122
os_physicalmemorysize,965
os_driver_outdated,36
os_driver_vendor,239
telemetry_get_group_count,1241
telemetry_get_group_index,1166
telemetry_get_group_id,921
telemetry_get_row_count,1093
telemetry_get_row_index,563
telemetry_get_row_id,131
telemetry_is_row_pinned,522
telemetry_get_column_count,1099
telemetry_get_column_index,1159
telemetry_get_column_id,1037
telemetry_get_grid_value,675
db_find,1096
db_find_with_count,365
db_findnext,386
db_getfield,1074
db_getfieldcount,681
detail_brightness,265
detail_removeroofs_option,39
detail_grounddecor_on,958
detail_flickering_on,878
detail_spotshadows_on,609
detail_hardshadows,566
detail_shadowquality,361
detail_lightdetail_high,1138
detail_waterdetail_high,495
detail_fog_on,221
detail_antialiasing,1237
detail_antialiasing_quality,1155
detail_stereo,1178
detail_soundvol,89
detail_musicvol,838
detail_bgsoundvol,6
detail_removeroofs_option_override,647
detail_particles,925
detail_antialiasing_default,967
detail_buildarea,888
detail_bloom,364
detail_customcursors,671
detail_idleanims,698
detail_groundblending,826
detail_toolkit,186
detail_toolkit_default,1170
detail_cpuusage,1124
detail_texturing,602
detail_maxscreensize,1181
detail_speechvol,121
detail_loginvol,0
detail_loadingscreentype,801
detail_drawdistance,1100
detail_skydetail,47
detailget_brightness,1062
detailget_removeroofs_option,55
detailget_grounddecor_on,98
detailget_flickering_on,1061
detailget_spotshadows_on,323
detailget_hardshadows,3
detailget_shadowquality,120
detailget_lightdetail_high,986
detailget_waterdetail_high,1259
detailget_fog_on,793
detailget_antialiasing,922
detailget_antialiasing_quality,579
detailget_stereo,1033
detailget_soundvol,90
detailget_musicvol,943
detailget_bgsoundvol,116
detailget_particles,960
detailget_antialiasing_default,178
detailget_bloom,9
detailget_idleanims,630
detailget_groundblending,543
detailget_toolkit,1199
detailget_toolkit_default,1144
detailget_cpuusage,1262
detailget_texturing,928
detailget_maxscreensize,1257
detailget_speechvol,1193
detailget_loginvol,130
detailget_safemode,892
detailget_canchoosesafemode,1103
detailget_chosesafemode,15
detailget_skydetail,156
detailget_drawdistance,103
detailcanmod_grounddecor,272
detailcanmod_spotshadows,203
detailcanmod_hardshadows,779
detailcanmod_shadowquality,181
detailcanmod_waterdetail,761
detailcanmod_antialiasing,895
detailcanmod_antialiasing_quality,582
detailcanmod_particles,255
detailcanmod_buildarea,969
detailcanmod_bloom,225
detailcanmod_groundblending,940
detailcanmod_texturing,1089
detailcanmod_maxscreensize,56
detailcanmod_toolkit_default,592
detailcanmod_skydetail,1115
detailcanset_hardshadows,199
detailcanset_shadowquality,883
detailcanset_waterdetail,936
detailcanset_antialiasing_quality,900
detailcanset_particles,105
detailcanset_buildarea,299
detailcanset_bloom,206
detailcanset_texturing,174
detailcanset_maxscreensize,1041
detailcanset_toolkit_default,837
detailcanset_skydetail,1215
detail_lightingquality,84
detail_antialiasingmode,842
detail_ambientocclusion,1057
detail_reflections,841
detail_vsync,187
detailget_lightingquality,96
detailget_antialiasingmode,20
detailget_ambientocclusion,373
detailget_reflections,1207
detailget_vsync,400
detailcanmod_lightingquality,993
detailcanmod_antialiasingmode,1113
detailcanmod_ambientocclusion,815
detailcanmod_reflections,19
detailcanmod_vsync,751
detailcanset_lightingquality,710
detailcanset_antialiasingmode,931
detailcanset_ambientocclusion,177
detailcanset_reflections,1130
detailcanset_vsync,341
autosetup_setultra,444
unknown_command_7,562
unknown_command_8,307
autosetup_dosetupstatus,998
