// Incomplete, bruteforced from opcodes-910-1730.txt
detailget_anisotropicfiltering,1186
detailget_volumetriclighting,277
detailget_maxforegroundfps,41
detailget_maxbackgroundfps,634
detailcanmod_lightingquality,1125
detailcanmod_antialiasingmode,1036
detailcanmod_ambientocclusion,968
detailcanmod_reflections,1196
detailcanmod_vsync,1120
detailcanmod_anisotropicfiltering,1210
detailcanmod_volumetriclighting,352
detailcanmod_maxforegroundfps,923
detailcanmod_maxbackgroundfps,1203
detailcanset_lightingquality,168
detailcanset_antialiasingmode,833
detailcanset_ambientocclusion,897
detailcanset_reflections,342
detailcanset_vsync,177
detailcanset_anisotropicfiltering,1010
detailcanset_volumetriclighting,611
detailcanset_maxforegroundfps,1270
detailcanset_maxbackgroundfps,643
autosetup_setultra,1403
unknown_command_7,1136
unknown_command_8,215
autosetup_dosetupstatus,707
unknown_command_15,900
unknown_command_16,1005
unknown_command_17,1355
unknown_command_18,333
unknown_command_19,205
unknown_command_20,405
cc_setswipeunknown1,83
cc_setswipeunknown2,846
cc_setswipeflags,952
cc_setswipedeadtime,659
cc_setswipedeadzone,94
if_setonswipevertical,988
if_setonswipehorizontal,1131
if_setonswipecomplete,992
unknown_command_21,436
if_setonpinchvertical,1129
if_setonpinchhorizontal,75
if_setpinchdeadzone,872
if_setpinchflags,371
unknown_command_26,375
minimenu_close,1116
unknown_command_27,1334
unknown_command_28,345
unknown_command_29,122
unknown_command_34,554
unknown_command_35,1160
unknown_command_36,513
interface_setpickingradius,812
unknown_command_38,1394
unknown_command_39,954
battery_ischarging,793
battery_getlevelpercent,433
window_getinsets,460
if_setsubtractinsets,454
unknown_command_40,813
show_software_license,523
marketing_init,1250
marketing_sendevent,6
notifications_init,976
notifications_opensettings,960
openurlraw,203
shop_opencategories,385
notifications_sendgroupedlocal,686
notifications_cancellocal,48
setwalkmarker,1197
unknown_command_45,1083
