// Cache 2008 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 839 is still covered by its seven other caches.
get_second_minimenu_entry,1136
get_minimenu_length,492
npc_find_active_minimenu_entry,59
player_find_active_minimenu_entry,1193
get_currentcursor,427
get_selfyangle,18
map_isowner,805
get_mousebuttons,551
self_player_uid,581
get_minimenu_target,482
enum_string,848
enum,1135
enum_hasoutput,1046
enum_hasoutput_string,60
enum_getoutputcount,968
enum_getreversecount,346
enum_getreversecount_string,532
enum_getreverseindex,1083
enum_getreverseindex_string,839
friend_count,329
friend_getname,386
friend_getworld,536
friend_getrank,375
friend_getnotes,368
friend_getworldflags,313
friend_test,1019
friend_getworldname,435
clan_getchatdisplayname,1115
clan_getchatcount,937
clan_getchatusername,879
clan_getchatuserworld,965
clan_getchatuserrank,591
clan_getchatminkick,589
clan_getchatrank,522
ignore_count,103
ignore_getname,90
ignore_getnotes,294
ignore_test,897
clan_isself,1154
clan_getchatownername,1065
clan_getchatuserworldname,380
friend_platform,553
friend_getslotfromname,15
ignore_getslotfromname,819
playercountry,388
ignore_is_temp,773
clan_getchatusername_unfiltered,960
ignore_getname_unfiltered,907
friend_is_referrer,283
friend_is_referred,372
activeclansettings_find_listened,976
activeclansettings_find_affined,588
activeclansettings_getclanname,855
activeclansettings_getallowunaffined,1096
activeclansettings_getranktalk,1157
activeclansettings_getrankkick,646
activeclansettings_getranklootshare,1038
activeclansettings_getcoinshare,674
activeclansettings_getaffinedcount,281
activeclansettings_getaffineddisplayname,473
activeclansettings_getaffinedrank,14
activeclansettings_getaffinedmuted,245
activeclansettings_getbannedcount,314
activeclansettings_getbanneddisplayname,42
activeclansettings_getaffinedextrainfo,574
activeclansettings_getcurrentowner_slot,794
activeclansettings_getreplacementowner_slot,464
activeclansettings_getaffinedslot,896
activeclansettings_getsortedaffinedslot,545
activeclansettings_getaffinedjoinruneday,758
activeclanchannel_find_listened,625
activeclanchannel_find_affined,68
activeclanchannel_getclanname,605
activeclanchannel_getrankkick,964
activeclanchannel_getranktalk,1044
activeclanchannel_getusercount,890
activeclanchannel_getuserdisplayname,576
activeclanchannel_getuserrank,352
activeclanchannel_getuserworld,997
activeclanchannel_getuserslot,640
activeclanchannel_getsorteduserslot,143
clanprofile_find,752
stockmarket_getoffertype,267
stockmarket_getofferitem,876
stockmarket_getofferprice,249
stockmarket_getoffercount,945
stockmarket_getoffercompletedcount,769
stockmarket_getoffercompletedgold,37
stockmarket_isofferempty,215
stockmarket_isofferstable,445
stockmarket_isofferfinished,1164
stockmarket_isofferadding,183
add,297
sub,254
multiply,692
divide,784
random,371
randominc,611
interpolate,432
addpercent,842
setbit,934
clearbit,138
testbit,136
modulo,711
pow,434
invpow,307
and,419
or,746
min,448
max,17
scale,1186
random_sound_pitch,431
hsvtorgb,881
not,222
append_num,969
append,665
append_signnum,1118
get_col_tag,315
lowercase,555
fromdate,131
text_gender,446
tostring,509
compare,1080
paraheight,643
parawidth,705
paraline,596
text_switch,903
escape,1188
append_char,384
char_isprintable,1045
char_isalphanumeric,1082
char_isalpha,1159
char_isnumeric,573
string_length,630
substring,1200
removetags,433
string_indexof_char,693
string_indexof_string,355
char_tolowercase,365
char_touppercase,504
tostring_localised,1177
stringwidth,29
string_distance,98
format_datetime_from_minutes,409
clanforumqfc_tostring,1158
oc_name,597
oc_op,948
oc_iop,916
oc_cost,129
oc_stackable,189
oc_category,252
oc_hasvarobj,1116
oc_cert,48
oc_uncert,436
oc_shard,35
oc_unshard,377
oc_shardcount,723
oc_wearpos,81
oc_wearpos2,10
oc_wearpos3,117
oc_members,351
oc_param,318
oc_icursor,160
oc_multistacksize,417
oc_find,894
oc_findnext,291
oc_minimenu_colour_overridden,1036
oc_minimenu_colour,210
nc_param,234
lc_param,727
struct_param,639
seq_param,362
seqlength,628
bas_getanim_ready,430
chat_getfilter_public,493
chat_gethistory_bytypeandline,1050
chat_gethistory_byuid,685
chat_getfilter_private,1194
chat_playername,206
chat_getfilter_trade,764
chat_gethistorylength,1168
chat_getnextuid,575
chat_getprevuid,300
chat_playername_unfiltered,559
chatcat_getdesc,348
chatcat_getsubcatcount,175
chatcat_getsubcat,505
chatcat_getphrasecount,1111
chatcat_getphrase,270
chatphrase_gettext,725
chatphrase_getautoresponsecount,478
chatphrase_getautoresponse,812
chatcat_getsubcatshortcut,197
chatcat_getphraseshortcut,213
chatcat_findsubcatbyshortcut,76
chatcat_findphrasebyshortcut,156
chatphrase_getdynamiccommandcount,420
chatphrase_getdynamiccommand,537
chatphrase_getdynamiccommandparam_enum,3
chatphrase_find,973
chatphrase_findnext,225
keyheld_alt,13
keyheld_ctrl,209
keyheld_shift,715
worldmap_3dview_active,1109
worldmap_3dview_getcoordfine,613
worldmap_3dview_getloddistance,266
worldmap_getcategorypriority,673
worldmap_3dview_gettextfont,285
worldmap_3dview_getscreenposition,1107
worldmap_getdisabletextsize,703
worldmap_getdisabletype,195
worldmap_getzoom,923
worldmap_getmap,836
worldmap_getmapname,564
worldmap_getsize,108
worldmap_getdisplayposition,714
worldmap_getconfigorigin,925
worldmap_getconfigsize,1133
worldmap_getconfigbounds,1018
worldmap_listelement_start,547
worldmap_listelement_next,1099
worldmap_coordinmap,638
worldmap_getconfigzoom,106
worldmap_isloaded,1191
worldmap_getsourceposition,513
worldmap_getdisplaycoord,608
worldmap_getsourcecoord,389
worldmap_getdisableelements,141
worldmap_getdisableelementcategory,529
worldmap_getdisableelement,1034
worldmap_getcurrentmap,293
worldmap_findnearestelement,296
fullscreen_enter,1139
fullscreen_modecount,382
fullscreen_getmode,981
fullscreen_lastmode,671
getwindowmode,834
getdefaultwindowmode,534
spline_length,405
lastlogin,952
minimenuopen,1074
getclipboard,1185
has_html5,971
has_nxt,770
clienttype,62
is_gamescreen_state,883
cam_getangle_xa,75
cam_getangle_ya,791
cam_getfollowheight,338
cam2_getcontrolmode,517
cam2_getlookatmode,132
cam2_getpositionmode,1014
cam2_getpositionentity_angleoffsets,166
cam2_addeffect_shake,774
cam2_getpositionentity_lookatangleoffsets,1173
cam2_getpositionentity_lookatangle,851
cam2_getpositionentity_lookatdistance,25
cam2_addeffect_ztilt,647
cam2_isenabled,344
cam2_legacycam_ready,802
