// Incomplete, bruteforced from opcodes-783-1109.txt and opcodes-787-521.txt and opcodes-742-544.txt and opcodes-780-770.txt and opcodes-777-2001.txt
// Cache 858 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 780 is still covered by 770 and 1002.
create_connect_reply,93
login_disallowresult,400
lobby_entergamereply,948
lobby_enterlobbyreply,1122
has_signonkey,364
userflowflags,153
create_under13,897
login_last_transfer_reply,580
login_inprogress,550
login_queue_position,710
login_disallowtrigger,273
login_accountappeal,766
detailget_brightness,281
detailget_removeroofs_option,1001
detailget_grounddecor_on,706
detailget_flickering_on,24
detailget_spotshadows_on,567
detailget_hardshadows,900
detailget_lightdetail_high,1036
detailget_waterdetail_high,937
detailget_fog_on,154
detailget_antialiasing,216
detailget_antialiasing_quality,1123
detailget_stereo,485
detailget_soundvol,980
detailget_musicvol,699
detailget_bgsoundvol,526
detailget_particles,503
detailget_antialiasing_default,846
detailget_bloom,1071
detailget_idleanims,1049
detailget_groundblending,1027
detailget_toolkit,280
detailget_toolkit_default,412
detailget_cpuusage,629
detailget_texturing,901
detailget_maxscreensize,975
detailget_speechvol,1104
detailget_loginvol,730
detailget_safemode,123
detailget_canchoosesafemode,1114
detailget_chosesafemode,452
detailget_skydetail,489
detailget_drawdistance,55
viewport_geteffectivesize,767
date_minutes,215
date_runeday,223
date_runeday_fromdate,295
date_runeday_todate,966
date_minutes_fromruneday,254
worldlist_fetch,334
worldlist_start,363
worldlist_next,667
worldlist_switch,1047
worldlist_specific,328
worldlist_specific_thisworld,960
mec_text,1046
userdetail_quickchat,45
userdetail_lobby_membership,860
userdetail_lobby_recoveryday,998
userdetail_lobby_unreadmessages,1092
userdetail_lobby_lastloginday,999
userdetail_lobby_lastloginaddress,475
userdetail_lobby_emailstatus,669
userdetail_lobby_ccexpiry,933
userdetail_lobby_graceexpiry,787
userdetail_dob,673
userdetail_lobby_playage,440
autosetup_dosetup,25
autosetup_getlevel,483
video_advert_play,1040
video_advert_has_finished,721
boost_advert_exists,1079
boost_advert_available,456
detailcanmod_antialiasing_quality,696
detailcanmod_particles,522
detailcanmod_maxscreensize,149
detailcanmod_toolkit_default,839
detailcanmod_skydetail,1078
detailcanset_antialiasing_quality,26
detailcanset_particles,1050
detailcanset_maxscreensize,268
detailcanset_toolkit_default,20
detailcanset_skydetail,1014
get_npc_vislevel,1044
get_entity_screen_position,150
if_get_gamescreen,330
if_set_gamescreen_enabled,33
get_entity_overlay_height,707
get_npc_stat,165
is_targeted_entity,209
npc_type,883
get_loc_screen_position,639
get_obj_screen_position,58
get_loc_overlay_height,858
get_obj_overlay_height,912
get_loc_bounding_box,681
get_obj_bounding_box,274
get_entity_bounding_box,138
quest_finished,82
preload_percent,326
shader_preload_throttle,100
fps_stats,621
set_entity_if,1052
entity_if_find,575
