// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not on the mirror (85 of ~100 archived), so this holds only what scripts show.
coordz,435
coordx_fine,994
coordy_fine,99
coordz_fine,373
movecoord_fine,180
coord_gridtofine,466
map_members,1054
map_preload,81
map_loadedpercent,585
invother_getobj,1023
invother_getnum,657
staffmodlevel,632
reboottimer,291
map_world,845
runenergy_visible,1063
runweight_visible,941
playermod,584
playermodlevel,886
playermember,510
comlevel_active,864
gender,741
map_quickchat,1009
inv_freespace,1142
inv_totalparam,449
map_lang,950
movecoord,737
applet_hasfocus,698
frombilling,537
get_mousex,80
get_mousey,831
get_active_minimenu_entry,228
get_minimenu_length,0
npc_find_active_minimenu_entry,256
get_currentcursor,627
get_mousebuttons,414
get_minimenu_target,243
enum_string,730
enum,795
enum_hasoutput,134
enum_getoutputcount,647
enum_getreversecount,649
enum_getreverseindex,159
friend_count,393
friend_getname,1026
friend_getworld,69
friend_getrank,119
friend_getnotes,991
friend_getworldflags,682
friend_test,506
friend_getworldname,917
clan_getchatdisplayname,865
clan_getchatcount,1017
clan_getchatusername,546
clan_getchatuserworld,70
clan_getchatuserrank,258
clan_getchatminkick,526
clan_getchatrank,1091
ignore_count,250
ignore_getname,367
ignore_getnotes,729
ignore_test,1011
clan_isself,230
clan_getchatownername,676
clan_getchatuserworldname,142
friend_platform,901
friend_getslotfromname,726
playercountry,772
clan_getchatusername_unfiltered,420
ignore_getname_unfiltered,591
friend_is_referrer,1039
friend_is_referred,728
activeclansettings_find_listened,516
activeclansettings_find_affined,796
activeclansettings_getclanname,87
activeclansettings_getallowunaffined,67
activeclansettings_getranktalk,883
activeclansettings_getrankkick,347
activeclansettings_getaffinedcount,862
activeclansettings_getaffineddisplayname,998
activeclansettings_getaffinedrank,313
activeclansettings_getbannedcount,483
activeclansettings_getbanneddisplayname,759
activeclansettings_getcurrentowner_slot,437
activeclansettings_getaffinedslot,601
activeclansettings_getsortedaffinedslot,336
activeclanchannel_find_listened,882
activeclanchannel_find_affined,889
activeclanchannel_getclanname,248
activeclanchannel_getrankkick,468
activeclanchannel_getranktalk,440
activeclanchannel_getusercount,568
activeclanchannel_getuserdisplayname,364
activeclanchannel_getuserrank,11
activeclanchannel_getuserworld,112
activeclanchannel_getuserslot,554
activeclanchannel_getsorteduserslot,550
clanprofile_find,358
stockmarket_getoffertype,473
stockmarket_getofferitem,103
stockmarket_getofferprice,419
stockmarket_getoffercount,564
stockmarket_getoffercompletedcount,811
stockmarket_getoffercompletedgold,153
stockmarket_isofferempty,211
stockmarket_isofferfinished,964
stockmarket_isofferadding,829
add,722
sub,689
multiply,629
divide,1103
random,486
randominc,1087
interpolate,501
