// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not among the 14 archived for build 808.
clanforumqfc_tostring,4
oc_name,187
oc_iop,743
oc_cost,994
oc_stackable,95
oc_category,29
oc_hasvarobj,668
oc_cert,349
oc_uncert,861
oc_wearpos,820
oc_wearpos2,1057
oc_members,1076
oc_param,74
oc_icursor,629
oc_find,184
oc_findnext,611
oc_minimenu_colour,671
nc_param,873
struct_param,459
seqlength,1061
bas_getanim_ready,765
chat_gethistory_byuid,689
chat_getfilter_private,123
chat_playername,996
chat_getfilter_trade,109
chat_getnextuid,870
chat_getprevuid,736
chat_playername_unfiltered,256
chatcat_getdesc,1110
chatcat_getsubcatcount,202
chatcat_getsubcat,227
chatcat_getphrasecount,920
chatcat_getphrase,987
chatphrase_gettext,71
chatphrase_getautoresponsecount,682
chatphrase_getautoresponse,326
chatcat_getsubcatshortcut,970
chatphrase_getdynamiccommandcount,374
chatphrase_getdynamiccommand,315
chatphrase_getdynamiccommandparam_enum,1031
chatphrase_find,635
chatphrase_findnext,1070
keyheld_alt,385
keyheld_ctrl,983
keyheld_shift,631
worldmap_3dview_active,1077
worldmap_3dview_getcoordfine,823
worldmap_getmap,1084
worldmap_getmapname,114
worldmap_getsize,412
worldmap_getdisplayposition,1054
worldmap_getconfigorigin,886
worldmap_getconfigbounds,141
worldmap_listelement_start,468
worldmap_listelement_next,908
worldmap_coordinmap,693
worldmap_getconfigzoom,243
worldmap_isloaded,699
worldmap_getdisplaycoord,434
worldmap_getdisableelements,816
worldmap_getcurrentmap,853
fullscreen_enter,1100
fullscreen_modecount,685
fullscreen_getmode,62
fullscreen_lastmode,643
getwindowmode,1101
getdefaultwindowmode,312
spline_length,88
minimenuopen,375
getclipboard,866
java_version_supported,77
has_html5,771
cam_getangle_xa,1092
cam_getangle_ya,834
cam2_getcontrolmode,352
cam2_getlookatmode,482
cam2_getpositionmode,847
cam2_getpositionentity_angleoffsets,197
cam2_addeffect_shake,471
cam2_addeffect_ztilt,339
cam2_isenabled,1089
login_hoptime,749
login_ban_duration,225
create_reply,925
create_email_validate_reply,532
create_name_validate_reply,690
create_suggest_name_reply,24
create_connect_reply,1091
login_disallowresult,199
lobby_entergamereply,323
lobby_enterlobbyreply,968
has_signonkey,297
userflowflags,83
create_under13,525
login_last_transfer_reply,15
login_inprogress,551
login_queue_position,897
login_disallowtrigger,1069
login_accountappeal,785
detailget_brightness,545
detailget_removeroofs_option,841
detailget_grounddecor_on,3
detailget_flickering_on,1041
detailget_spotshadows_on,642
detailget_hardshadows,82
detailget_lightdetail_high,900
detailget_waterdetail_high,355
detailget_fog_on,914
detailget_antialiasing,703
detailget_antialiasing_quality,651
detailget_stereo,780
detailget_soundvol,718
detailget_musicvol,155
detailget_bgsoundvol,1056
detailget_particles,290
detailget_antialiasing_default,473
detailget_bloom,879
detailget_idleanims,376
detailget_groundblending,85
detailget_toolkit,64
detailget_toolkit_default,614
detailget_cpuusage,178
detailget_texturing,548
detailget_maxscreensize,260
detailget_speechvol,147
detailget_loginvol,764
detailget_safemode,497
detailget_canchoosesafemode,790
detailget_chosesafemode,661
detailget_skydetail,856
detailget_drawdistance,540
viewport_geteffectivesize,1122
viewport_getzoom,305
date_minutes,234
date_runeday,521
date_runeday_fromdate,356
date_runeday_todate,798
date_minutes_fromruneday,773
worldlist_fetch,623
worldlist_start,284
worldlist_next,145
worldlist_switch,295
worldlist_specific,160
worldlist_specific_thisworld,246
mec_text,560
mec_sprite,893
mec_category,186
mec_param,851
userdetail_quickchat,301
userdetail_lobby_membership,956
userdetail_lobby_recoveryday,554
userdetail_lobby_unreadmessages,22
userdetail_lobby_lastloginday,667
userdetail_lobby_emailstatus,1011
userdetail_lobby_ccexpiry,136
userdetail_lobby_graceexpiry,417
userdetail_dob,683
userdetail_lobby_playage,322
autosetup_dosetup,1063
autosetup_getlevel,192
video_advert_play,331
video_advert_has_finished,622
detailcanmod_grounddecor,221
detailcanmod_spotshadows,363
detailcanmod_hardshadows,930
detailcanmod_antialiasing,23
detailcanmod_antialiasing_quality,224
detailcanmod_particles,1144
detailcanmod_buildarea,842
detailcanmod_bloom,520
detailcanmod_groundblending,562
detailcanmod_texturing,1115
detailcanmod_maxscreensize,165
detailcanmod_toolkit_default,9
detailcanmod_skydetail,440
detailcanset_antialiasing_quality,1032
detailcanset_particles,1051
detailcanset_buildarea,704
detailcanset_maxscreensize,382
detailcanset_toolkit_default,501
detailcanset_skydetail,745
get_npc_vislevel,652
get_entity_screen_position,553
if_get_gamescreen,388
if_set_gamescreen_enabled,664
get_entity_overlay_height,498
get_npc_stat,748
is_targeted_entity,146
npc_type,438
get_loc_screen_position,1119
get_obj_screen_position,183
get_loc_overlay_height,129
get_obj_overlay_height,864
get_loc_bounding_box,577
get_obj_bounding_box,1022
get_entity_bounding_box,958
quest_finished,1133
sound_group_start,406
sound_group_stop,470
sound_vorbis_volume_rate_group,452
preload_percent,584
shader_preload_throttle,14
fps_stats,444
runjavascript,380
boost_advert_available,231
boost_advert_exists,1129
boost_advert_launch,1062
