// Cache 1524 is an incomplete capture and is not in caches.txt: OpenRS2 returns 404 for
// archive 12 group 4862, so it cannot be unpacked and this table cannot be verified.
detail_antialiasing_default,558
detail_buildarea,2
detail_bloom,923
detail_customcursors,746
detail_idleanims,1006
detail_groundblending,698
detail_toolkit,401
detail_toolkit_default,332
detail_cpuusage,1000
detail_texturing,239
detail_maxscreensize,312
detail_speechvol,753
detail_loginvol,1047
detail_loadingscreentype,637
detail_drawdistance,938
detail_skydetail,78
detail_animdetail,10
detail_diskcachesize,139
viewport_setfov,967
viewport_setzoom,1037
viewport_clampfov,191
worldlist_sort,479
worldlist_autoworld,324
worldlist_pingworlds,896
if_debug_button1,1182
if_debug_button2,335
if_debug_button3,661
if_debug_button4,478
if_debug_button5,321
if_debug_button6,1079
if_debug_button7,947
if_debug_button8,413
if_debug_button9,1004
if_debug_button10,704
if_debug_target,501
force_interface_drag,404
cancel_interface_drag,718
targetmode_active,8
targetmode_cancel,91
autosetup_sethigh,728
autosetup_setmedium,274
autosetup_setlow,789
autosetup_setmin,703
autosetup_setcustom,829
autosetup_blackflaglast,758
video_advert_force_remove,807
video_advert_allow_skip,640
bug_report,491
array_sort,271
cc_find,1112
if_find,21
cc_getx,386
cc_gety,534
cc_getwidth,297
cc_getheight,1062
cc_gethide,1094
cc_getlayer,157
cc_getparentlayer,187
cc_getcolour,672
cc_getscrollx,1012
cc_getscrolly,512
cc_gettext,270
cc_getscrollwidth,406
cc_getscrollheight,482
cc_getmodelzoom,295
cc_getmodelangle_x,1166
cc_getmodelangle_z,1051
cc_getmodelangle_y,287
cc_gettrans,649
cc_getmodelxof,1024
cc_getmodelyof,847
cc_getgraphic,862
cc_param,202
cc_get2dangle,510
cc_getmodel,527
cc_getfontgraphic,567
cc_getgraphicdimensions,1061
cc_getfontmetrics,277
cc_getinvobject,170
cc_getinvcount,943
cc_getid,937
cc_gettargetmask,364
cc_getop,224
cc_getopbase,869
cc_getcharindexatpos,1073
cc_getcharposatindex,1167
if_getx,439
if_gety,740
if_getwidth,1005
if_getheight,936
if_gethide,248
if_getlayer,810
if_getparentlayer,209
if_getcolour,174
if_getscrollx,38
if_getscrolly,993
if_gettext,539
if_getscrollwidth,662
if_getscrollheight,471
if_getmodelzoom,371
if_getmodelangle_x,706
if_getmodelangle_z,562
if_getmodelangle_y,550
if_gettrans,580
if_getmodelxof,614
if_getmodelyof,369
if_getgraphic,245
if_get2dangle,367
if_getmodel,663
if_getfontgraphic,520
if_getgraphicdimensions,1096
