// Cache 1051 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; it is the only table for build 844.
detail_idleanims_many,860
detail_flickering_on,1146
detail_spotshadows_on,1144
detail_hardshadows,246
detail_shadowquality,608
detail_lightdetail_high,165
detail_waterdetail_high,476
detail_fog_on,264
detail_antialiasing,125
detail_antialiasing_quality,1119
detail_stereo,1136
detail_soundvol,1155
detail_musicvol,877
detail_bgsoundvol,945
detail_removeroofs_option_override,736
detail_particles,225
detail_antialiasing_default,1039
detail_buildarea,418
detail_bloom,1190
detail_customcursors,1026
detail_idleanims,1200
detail_groundblending,863
detail_toolkit,115
detail_toolkit_default,712
detail_cpuusage,254
detail_texturing,934
detail_maxscreensize,1079
detail_speechvol,1174
detail_loginvol,928
detail_loadingscreentype,845
detail_drawdistance,474
detail_skydetail,759
detail_animdetail,33
detail_diskcachesize,539
viewport_setfov,513
viewport_setzoom,123
viewport_clampfov,675
worldlist_sort,32
worldlist_autoworld,1185
worldlist_pingworlds,30
if_debug_button1,1088
if_debug_button2,397
if_debug_button3,590
if_debug_button4,749
if_debug_button5,1202
if_debug_button6,483
if_debug_button7,488
if_debug_button8,229
if_debug_button9,503
if_debug_button10,746
if_debug_target,1017
force_interface_drag,70
cancel_interface_drag,364
targetmode_active,420
targetmode_cancel,558
autosetup_sethigh,892
autosetup_setmedium,271
autosetup_setlow,1077
autosetup_setmin,487
autosetup_setcustom,453
autosetup_blackflaglast,544
video_advert_force_remove,1117
video_advert_allow_skip,1145
bug_report,427
array_sort,1208
cc_find,989
if_find,820
cc_getx,577
cc_gety,128
cc_getwidth,249
cc_getheight,567
cc_gethide,560
cc_getlayer,495
cc_getparentlayer,799
cc_getcolour,179
cc_getscrollx,1207
cc_getscrolly,234
cc_gettext,1052
cc_getscrollwidth,26
cc_getscrollheight,230
cc_getmodelzoom,243
cc_getmodelangle_x,545
cc_getmodelangle_z,308
cc_getmodelangle_y,80
cc_gettrans,320
cc_getmodelxof,195
cc_getmodelyof,340
cc_getgraphic,790
cc_param,700
cc_get2dangle,486
cc_getmodel,274
cc_getfontgraphic,479
cc_getgraphicdimensions,325
cc_getfontmetrics,138
cc_getinvobject,1153
cc_getinvcount,659
cc_getid,796
cc_gettargetmask,321
cc_getop,113
cc_getopbase,294
cc_getcharindexatpos,318
cc_getcharposatindex,687
if_getx,50
if_gety,697
if_getwidth,1023
if_getheight,76
if_gethide,244
if_getlayer,1066
if_getparentlayer,164
if_getcolour,227
if_getscrollx,1082
if_getscrolly,394
if_gettext,216
if_getscrollwidth,853
if_getscrollheight,1139
if_getmodelzoom,825
if_getmodelangle_x,1206
if_getmodelangle_z,110
if_getmodelangle_y,442
if_gettrans,760
if_getmodelxof,423
if_getmodelyof,304
if_getgraphic,641
if_get2dangle,1016
if_getmodel,478
if_getfontgraphic,350
if_getgraphicdimensions,978
if_getfontmetrics,910
if_getinvobject,65
if_getinvcount,431
if_hassub,284
if_getnextsubid,104
if_hassubmodal,298
if_hassuboverlay,1203
if_gettargetmask,727
if_getop,449
if_getopbase,91
if_getcharindexatpos,122
if_getcharposatindex,198
clientclock,786
inv_getobj,588
inv_getnum,1150
inv_total,741
inv_totalcat,15
inv_size,638
inv_stockbase,1094
stat,1002
stat_base,444
stat_visible_xp,508
stat_base_actual,669
stat_visible_xp_actual,572
facing_fine,770
coord,982
coordx,1172
coordy,41
coordz,129
coord_fine,145
coordx_fine,383
coordy_fine,401
coordz_fine,1128
coordlevel_fine,580
movecoord_fine,902
coord_gridtofine,1106
coord_finetogrid,839
map_members,1090
map_preload,1186
map_loadedpercent,517
invother_getobj,317
invother_getnum,829
invother_total,789
staffmodlevel,333
reboottimer,824
map_world,152
runenergy_visible,245
runweight_visible,980
playermod,1089
playermodlevel,777
playermember,784
comlevel_active,586
gender,204
map_quickchat,775
inv_freespace,286
inv_totalparam,494
inv_totalparam_stack,601
map_lang,672
movecoord,214
affiliate,936
profile_cpu,897
playerdemo,416
applet_hasfocus,702
frombilling,629
get_mousex,1005
get_mousey,437
get_active_minimenu_entry,771
get_second_minimenu_entry,1037
get_minimenu_length,172
npc_find_active_minimenu_entry,729
player_find_active_minimenu_entry,859
get_currentcursor,916
get_selfyangle,750
map_isowner,1170
get_mousebuttons,367
self_player_uid,956
get_minimenu_target,372
enum_string,366
enum,552
enum_hasoutput,1135
enum_hasoutput_string,1073
enum_getoutputcount,1014
enum_getreversecount,209
enum_getreversecount_string,757
enum_getreverseindex,223
enum_getreverseindex_string,8
friend_count,670
friend_getname,927
friend_getworld,61
friend_getrank,1022
friend_getnotes,842
friend_getworldflags,963
friend_test,782
friend_getworldname,987
clan_getchatdisplayname,316
clan_getchatcount,1111
clan_getchatusername,827
clan_getchatuserworld,731
clan_getchatuserrank,756
clan_getchatminkick,1142
clan_getchatrank,530
ignore_count,253
ignore_getname,1151
ignore_getnotes,735
ignore_test,259
clan_isself,701
clan_getchatownername,837
clan_getchatuserworldname,886
friend_platform,846
friend_getslotfromname,83
ignore_getslotfromname,288
playercountry,257
ignore_is_temp,1112
clan_getchatusername_unfiltered,918
ignore_getname_unfiltered,447
friend_is_referrer,740
friend_is_referred,301
activeclansettings_find_listened,504
activeclansettings_find_affined,505
activeclansettings_getclanname,896
activeclansettings_getallowunaffined,703
activeclansettings_getranktalk,666
activeclansettings_getrankkick,154
activeclansettings_getranklootshare,208
activeclansettings_getcoinshare,761
activeclansettings_getaffinedcount,597
activeclansettings_getaffineddisplayname,563
activeclansettings_getaffinedrank,491
activeclansettings_getaffinedmuted,293
activeclansettings_getbannedcount,1191
activeclansettings_getbanneddisplayname,720
activeclansettings_getaffinedextrainfo,173
activeclansettings_getcurrentowner_slot,203
activeclansettings_getreplacementowner_slot,883
activeclansettings_getaffinedslot,171
activeclansettings_getsortedaffinedslot,873
activeclansettings_getaffinedjoinruneday,135
activeclanchannel_find_listened,935
activeclanchannel_find_affined,55
activeclanchannel_getclanname,429
activeclanchannel_getrankkick,1115
activeclanchannel_getranktalk,998
activeclanchannel_getusercount,1101
activeclanchannel_getuserdisplayname,907
activeclanchannel_getuserrank,1130
activeclanchannel_getuserworld,570
activeclanchannel_getuserslot,728
activeclanchannel_getsorteduserslot,489
clanprofile_find,607
stockmarket_getoffertype,1103
stockmarket_getofferitem,621
stockmarket_getofferprice,355
stockmarket_getoffercount,906
stockmarket_getoffercompletedcount,764
stockmarket_getoffercompletedgold,351
stockmarket_isofferempty,996
stockmarket_isofferstable,1197
stockmarket_isofferfinished,482
stockmarket_isofferadding,77
add,942
sub,312
multiply,235
divide,855
random,349
randominc,1099
interpolate,393
addpercent,490
setbit,278
clearbit,798
testbit,461
modulo,212
pow,296
invpow,1127
and,1033
or,334
min,774
max,649
scale,322
random_sound_pitch,983
hsvtorgb,4
not,327
append_num,1004
append,118
append_signnum,174
get_col_tag,133
lowercase,556
fromdate,406
text_gender,686
tostring,520
compare,785
paraheight,975
parawidth,677
paraline,47
text_switch,1012
escape,947
append_char,386
char_isprintable,303
char_isalphanumeric,834
char_isalpha,968
char_isnumeric,161
string_length,631
substring,150
removetags,445
string_indexof_char,645
string_indexof_string,97
char_tolowercase,738
char_touppercase,228
tostring_localised,715
stringwidth,891
string_distance,1085
format_datetime_from_minutes,665
clanforumqfc_tostring,73
oc_name,1211
oc_op,888
oc_iop,1110
oc_cost,893
oc_stackable,153
oc_category,797
oc_hasvarobj,557
oc_cert,290
oc_uncert,1132
oc_shard,501
oc_unshard,158
oc_shardcount,692
oc_wearpos,391
oc_wearpos2,973
oc_wearpos3,310
oc_members,905
oc_param,994
oc_icursor,627
oc_multistacksize,1189
oc_find,211
oc_findnext,463
oc_minimenu_colour_overridden,616
oc_minimenu_colour,792
nc_param,726
lc_param,1181
struct_param,1058
seq_param,218
seqlength,221
bas_getanim_ready,880
chat_getfilter_public,272
chat_gethistory_bytypeandline,671
chat_gethistory_byuid,531
chat_getfilter_private,550
chat_playername,569
chat_getfilter_trade,255
chat_gethistorylength,45
chat_getnextuid,924
chat_getprevuid,930
chat_playername_unfiltered,162
chatcat_getdesc,428
chatcat_getsubcatcount,160
chatcat_getsubcat,485
chatcat_getphrasecount,353
chatcat_getphrase,265
chatphrase_gettext,806
chatphrase_getautoresponsecount,36
chatphrase_getautoresponse,919
chatcat_getsubcatshortcut,691
chatcat_getphraseshortcut,1108
chatcat_findsubcatbyshortcut,583
chatcat_findphrasebyshortcut,121
chatphrase_getdynamiccommandcount,67
chatphrase_getdynamiccommand,170
chatphrase_getdynamiccommandparam_enum,773
chatphrase_find,605
chatphrase_findnext,561
keyheld_alt,890
keyheld_ctrl,1003
keyheld_shift,997
worldmap_3dview_active,812
worldmap_3dview_getcoordfine,188
worldmap_3dview_getloddistance,242
worldmap_getcategorypriority,599
worldmap_3dview_gettextfont,27
worldmap_3dview_getscreenposition,667
worldmap_getdisabletextsize,730
worldmap_getdisabletype,1008
worldmap_getzoom,285
worldmap_getmap,964
worldmap_getmapname,159
worldmap_getsize,944
worldmap_getdisplayposition,440
worldmap_getconfigorigin,881
worldmap_getconfigsize,258
worldmap_getconfigbounds,854
worldmap_listelement_start,402
worldmap_listelement_next,747
worldmap_coordinmap,269
worldmap_getconfigzoom,1095
worldmap_isloaded,732
worldmap_getsourceposition,446
worldmap_getdisplaycoord,763
worldmap_getsourcecoord,224
worldmap_getdisableelements,222
worldmap_getdisableelementcategory,1028
worldmap_getdisableelement,809
worldmap_getcurrentmap,768
worldmap_findnearestelement,573
fullscreen_enter,186
fullscreen_modecount,961
fullscreen_getmode,948
fullscreen_lastmode,48
getwindowmode,778
getdefaultwindowmode,781
spline_length,801
lastlogin,34
minimenuopen,1050
getclipboard,1046
has_html5,109
has_nxt,305
clienttype,384
is_gamescreen_state,72
cam_getangle_xa,754
cam_getangle_ya,833
cam_getfollowheight,358
cam2_getcontrolmode,576
cam2_getlookatmode,239
cam2_getpositionmode,309
cam2_getpositionentity_angleoffsets,716
cam2_addeffect_shake,69
cam2_getpositionentity_lookatangleoffsets,381
cam2_getpositionentity_lookatangle,689
cam2_getpositionentity_lookatdistance,134
cam2_addeffect_ztilt,1061
cam2_isenabled,469
cam2_legacycam_ready,1161
cam_modeisfollowplayer,578
login_reply,913
login_hoptime,656
login_ban_duration,1011
create_reply,647
create_email_validate_reply,803
create_name_validate_reply,805
create_suggest_name_reply,1086
create_connect_reply,404
login_disallowresult,460
lobby_entergamereply,1126
lobby_enterlobbyreply,707
has_signonkey,718
userflowflags,800
create_under13,850
login_last_transfer_reply,202
login_inprogress,969
login_queue_position,835
login_disallowtrigger,1158
create_get_email,379
login_accountappeal,606
detailget_brightness,81
detailget_removeroofs_option,64
detailget_grounddecor_on,11
detailget_idleanims_many,587
detailget_flickering_on,547
detailget_spotshadows_on,400
detailget_hardshadows,985
detailget_shadowquality,54
detailget_lightdetail_high,933
detailget_waterdetail_high,509
detailget_fog_on,283
detailget_antialiasing,911
detailget_antialiasing_quality,657
detailget_stereo,559
detailget_soundvol,226
detailget_musicvol,929
detailget_bgsoundvol,823
detailget_particles,378
detailget_antialiasing_default,1122
detailget_buildarea,210
detailget_bloom,595
detailget_customcursors,193
detailget_idleanims,822
detailget_groundblending,207
detailget_toolkit,534
detailget_toolkit_default,434
detailget_cpuusage,1100
detailget_texturing,943
detailget_performance_metric,439
detailget_maxscreensize,884
detailget_speechvol,1169
detailget_loginvol,392
detailget_safemode,758
detailget_loadingscreentype,1149
detailget_orthographic,28
detailget_canchoosesafemode,467
detailget_chosesafemode,1093
detailget_skydetail,719
detailget_drawdistance,16
detailget_maxdiskcachesize,717
detailget_mindiskcachesize,75
detailget_recommendeddiskcachesize,410
detailget_diskcachesize,660
detailget_animdetail,708
viewport_geteffectivesize,1076
viewport_getzoom,238
viewport_getfov,862
date_minutes,38
date_runeday,169
date_runeday_fromdate,962
date_year,532
date_isleapyear,120
date_runeday_todate,157
date_minutes_fromruneday,217
worldlist_fetch,98
worldlist_start,693
worldlist_next,292
worldlist_switch,213
worldlist_specific,848
worldlist_specific_thisworld,914
if_gettop,268
if_debug_getopenifcount,51
if_debug_getopenifid,344
if_debug_getname,1133
if_debug_getcomcount,874
if_debug_getcomname,690
if_debug_getservertriggers,637
opcount,256
mec_text,565
mec_sprite,1080
mec_textsize,189
mec_category,371
mec_param,887
userdetail_quickchat,201
userdetail_lobby_membership,1036
userdetail_lobby_recoveryday,232
userdetail_lobby_unreadmessages,511
userdetail_lobby_lastloginday,105
userdetail_lobby_lastloginaddress,1056
userdetail_lobby_emailstatus,71
userdetail_lobby_ccexpiry,183
userdetail_lobby_graceexpiry,838
userdetail_lobby_dobrequested,1071
userdetail_dob,1065
userdetail_lobby_membersstats,140
userdetail_lobby_playage,78
userdetail_lobby_jcoins_balance,1051
userdetail_lobby_loyalty_balance,551
autosetup_dosetup,613
autosetup_getlevel,502
video_advert_play,19
video_advert_has_finished,422
detailcanmod_grounddecor,356
detailcanmod_spotshadows,151
detailcanmod_hardshadows,266
detailcanmod_shadowquality,484
detailcanmod_waterdetail,1
detailcanmod_antialiasing,709
detailcanmod_antialiasing_quality,1041
detailcanmod_particles,56
detailcanmod_buildarea,819
detailcanmod_bloom,818
detailcanmod_groundblending,1213
detailcanmod_texturing,912
detailcanmod_maxscreensize,205
detailcanmod_fog,591
detailcanmod_orthographic,909
detailcanmod_toolkit_default,507
detailcanmod_skydetail,653
detailcanmod_animdetail,200
detailcanset_grounddecor,618
detailcanset_spotshadows,876
detailcanset_hardshadows,459
detailcanset_shadowquality,496
detailcanset_waterdetail,650
detailcanset_antialiasing,57
detailcanset_antialiasing_quality,481
detailcanset_particles,338
detailcanset_buildarea,762
detailcanset_bloom,1062
detailcanset_groundblending,1162
detailcanset_texturing,5
detailcanset_maxscreensize,1194
detailcanset_fog,426
detailcanset_orthographic,473
detailcanset_toolkit_default,357
detailcanset_skydetail,952
detailcanset_animdetail,920
get_entity_say,895
get_displayname_withextras,1188
get_npc_name,617
get_npc_vislevel,510
get_entity_screen_position,37
if_get_gamescreen,184
if_set_gamescreen_enabled,457
get_entity_overlay_height,772
get_npc_stat,609
is_npc_active,0
is_npc_visible,443
is_targeted_entity,614
npc_type,1063
get_loc_screen_position,568
get_obj_screen_position,951
get_loc_overlay_height,610
get_obj_overlay_height,237
get_loc_bounding_box,788
get_obj_bounding_box,1045
get_entity_bounding_box,465
quest_getname,175
quest_getsortname,2
quest_type,571
quest_getdifficulty,435
quest_getmembers,79
quest_points,1067
quest_questreq_count,831
quest_questreq,1209
quest_questreq_met,374
quest_pointsreq,433
quest_pointsreq_met,1043
quest_statreq_count,633
quest_statreq_stat,988
quest_statreq_level,337
quest_statreq_met,368
quest_varpreq_count,899
quest_varpreq_desc,365
quest_varpreq_met,644
quest_varbitreq_count,1129
quest_varbitreq_desc,49
quest_varbitreq_met,88
quest_allreqmet,680
quest_started,866
quest_finished,643
quest_param,220
map_build_complete,1064
sound_song_stop,44
sound_group_start,847
sound_group_stop,743
sound_vorbis_volume_rate_group,387
sound_mixbuss_add,826
sound_mixbuss_setlevel,1097
sound_distancefocusfilter_setparams,623
preload_percent,407
shader_preload_allow,548
shader_preload_percent,626
shader_preload_throttle,395
can_run_java_client,864
fps_stats,156
runjavascript,252
worldmap_jumptosourcecoord_instant,904
worldmap_jumptodisplaycoord_instant,615
worldmap_setflashloops,632
worldmap_setflashloops_default,698
worldmap_setflashtics,39
worldmap_setflashtics_default,1107
worldmap_perpetualflash,1055
worldmap_stopcurrentflashes,302
player_group_find,360
player_group_member_count,872
player_group_member_get_same_world_var,414
player_group_member_get_rank,498
player_group_member_get_team,388
player_group_member_get_last_seen_node_id,793
player_group_member_get_status,1193
player_group_member_is_online,931
player_group_member_is_member,275
player_group_member_get_displayname,878
player_group_member_get_join_xp,417
player_group_member_is_owner,898
player_group_banned_count,1184
player_group_banned_get_displayname,814
player_group_get_displayname,436
player_group_get_max_size,915
player_group_get_create_mins_since_epoch,324
player_group_get_create_seconds_to_now,723
player_group_is_members_only,330
player_group_get_overall_status,522
player_group_get_owner_slot,260
ttv_login,646
ttv_login_getstate,553
ttv_logout,663
