// Incomplete, bruteforced from opcodes-891-1239.txt and opcodes-910-1730.txt and opcodes-883-596.txt
chatcat_getsubcat,875
chatcat_getphrasecount,555
chatcat_getphrase,696
chatphrase_gettext,220
chatphrase_getautoresponsecount,874
chatphrase_getautoresponse,1293
chatcat_getsubcatshortcut,1286
chatphrase_getdynamiccommandcount,849
chatphrase_getdynamiccommand,583
chatphrase_getdynamiccommandparam_enum,781
chatphrase_find,653
chatphrase_findnext,268
keyheld_alt,241
keyheld_ctrl,1076
keyheld_shift,625
fullscreen_enter,184
fullscreen_modecount,711
fullscreen_getmode,560
fullscreen_lastmode,66
getwindowmode,926
getdefaultwindowmode,1140
spline_length,790
minimenuopen,769
getclipboard,1213
has_html5,125
has_nxt,740
clienttype,16
cam_getangle_xa,721
cam_getangle_ya,458
cam2_getcontrolmode,1157
cam2_getlookatmode,446
cam2_getpositionmode,539
cam2_getpositionentity_angleoffsets,471
cam2_addeffect_shake,1065
cam2_addeffect_ztilt,684
cam2_isenabled,956
login_reply,264
login_hoptime,614
login_ban_duration,535
create_reply,212
create_email_validate_reply,227
create_name_validate_reply,232
create_suggest_name_reply,141
create_connect_reply,931
login_disallowresult,203
lobby_entergamereply,540
lobby_enterlobbyreply,702
userflowflags,1060
create_under13,708
login_last_transfer_reply,756
login_inprogress,1166
login_queue_position,852
login_disallowtrigger,140
login_accountappeal,99
viewport_geteffectivesize,133
viewport_getzoom,701
date_minutes,1094
date_runeday,1103
date_runeday_fromdate,1062
date_runeday_todate,1218
date_minutes_fromruneday,104
worldlist_fetch,1242
worldlist_start,64
worldlist_next,691
worldlist_switch,1241
worldlist_specific,692
worldlist_specific_thisworld,948
if_gettop,42
mec_text,884
mec_category,1053
mec_param,638
userdetail_quickchat,1270
userdetail_lobby_membership,1284
userdetail_lobby_unreadmessages,424
userdetail_lobby_lastloginday,132
userdetail_lobby_emailstatus,1068
userdetail_lobby_ccexpiry,1178
userdetail_lobby_graceexpiry,527
userdetail_dob,1244
userdetail_lobby_playage,789
autosetup_dosetup,680
autosetup_getlevel,503
video_advert_play,526
video_advert_has_finished,725
get_npc_vislevel,97
get_entity_screen_position,270
if_get_gamescreen,257
if_set_gamescreen_enabled,91
get_entity_overlay_height,376
get_npc_stat,1233
is_npc_active,1204
is_targeted_entity,774
npc_type,727
get_loc_screen_position,483
get_obj_screen_position,883
get_loc_overlay_height,274
get_obj_overlay_height,495
get_loc_bounding_box,477
get_obj_bounding_box,1026
get_entity_bounding_box,1113
quest_finished,341
sound_group_start,809
sound_group_stop,219
sound_vorbis_volume_rate_group,566
preload_percent,1059
shader_preload_throttle,154
fps_stats,707
runjavascript,375
worldmap_3dview_active,862
worldmap_3dview_getcoordfine,871
worldmap_getmap,1079
worldmap_getmapname,351
worldmap_getsize,608
worldmap_getdisplayposition,339
worldmap_getconfigorigin,1120
worldmap_getconfigbounds,1200
worldmap_listelement_start,1101
worldmap_listelement_next,831
worldmap_coordinmap,360
worldmap_getconfigzoom,452
worldmap_isloaded,1021
worldmap_getdisplaycoord,1129
worldmap_getdisableelements,500
worldmap_getcurrentmap,1016
player_group_find,1205
player_group_member_count,738
player_group_member_get_same_world_var,253
player_group_member_get_rank,172
player_group_member_get_team,655
player_group_member_get_last_seen_node_id,991
player_group_member_get_status,48
player_group_member_is_online,302
player_group_member_get_displayname,41
player_group_member_get_join_xp,437
player_group_member_is_owner,229
player_group_banned_count,1182
player_group_banned_get_displayname,1163
player_group_get_displayname,210
player_group_get_max_size,37
player_group_get_overall_status,975
player_group_get_owner_slot,312
ttv_login,601
ttv_login_getstate,1222
ttv_logout,839
ttv_library_getstate,486
ttv_library_request,46
ttv_stream_getstate,55
ttv_stream_start,1039
ttv_stream_stop,1144
ttv_stream_settitle,226
ttv_stream_getviewers,1262
ttv_stream_getquality,761
ttv_chat_sendmessage,234
ttv_webcam_supported,659
ttv_webcam_getdevice_count,952
ttv_webcam_getdevice_byindex,497
ttv_webcam_getdevice_byuniquename,443
ttv_webcam_getcap_count,90
ttv_webcam_getcap_byindex,916
ttv_webcam_getcap_byuniqueid,908
ttv_webcam_start,418
ttv_webcam_stop,328
ttv_webcam_flip,447
ttv_livestreams_update,722
ttv_livestreams_getstream_start,838
ttv_livestreams_getstream_next,681
ttv_hasprerequisites,311
os_ismac,100
os_iswindows,170
os_islinux,332
os_isandroid,131
os_isios,175
os_physicalmemorysize,107
os_driver_outdated,44
os_driver_vendor,159
telemetry_get_group_count,959
telemetry_get_group_index,1116
telemetry_get_group_id,736
telemetry_get_row_count,782
telemetry_get_row_index,870
telemetry_get_row_id,594
telemetry_is_row_pinned,1046
telemetry_get_column_count,673
telemetry_get_column_index,1049
telemetry_get_column_id,357
telemetry_get_grid_value,32
db_find,830
db_find_with_count,933
db_findnext,504
db_getfield,1095
db_getfieldcount,1029
detail_brightness,1240
detail_removeroofs_option,460
detail_grounddecor_on,431
detail_flickering_on,1208
detail_spotshadows_on,596
detail_hardshadows,648
detail_shadowquality,193
detail_lightdetail_high,610
detail_waterdetail_high,374
detail_fog_on,79
detail_antialiasing,72
detail_antialiasing_quality,338
detail_stereo,158
detail_soundvol,826
detail_musicvol,410
detail_bgsoundvol,1000
detail_removeroofs_option_override,31
detail_particles,255
detail_antialiasing_default,393
detail_buildarea,617
detail_bloom,703
detail_customcursors,671
detail_idleanims,592
detail_groundblending,457
detail_toolkit,19
detail_toolkit_default,1006
detail_cpuusage,1084
detail_texturing,1274
detail_maxscreensize,109
detail_speechvol,642
detail_loginvol,844
detail_loadingscreentype,1042
detail_drawdistance,156
detail_skydetail,491
detailget_brightness,118
detailget_removeroofs_option,901
detailget_grounddecor_on,580
detailget_flickering_on,645
detailget_spotshadows_on,746
detailget_hardshadows,779
detailget_shadowquality,946
detailget_lightdetail_high,517
detailget_waterdetail_high,1122
detailget_fog_on,1072
detailget_antialiasing,1093
detailget_antialiasing_quality,1024
detailget_stereo,484
detailget_soundvol,1227
detailget_musicvol,427
detailget_bgsoundvol,1096
detailget_particles,525
detailget_antialiasing_default,201
detailget_bloom,1031
detailget_idleanims,599
detailget_groundblending,306
detailget_toolkit,768
detailget_toolkit_default,575
detailget_cpuusage,196
detailget_texturing,470
detailget_maxscreensize,1027
detailget_speechvol,36
detailget_loginvol,734
detailget_safemode,1287
detailget_canchoosesafemode,224
detailget_chosesafemode,815
detailget_skydetail,297
detailget_drawdistance,34
detailcanmod_grounddecor,618
detailcanmod_spotshadows,244
detailcanmod_hardshadows,263
detailcanmod_shadowquality,716
detailcanmod_waterdetail,704
detailcanmod_antialiasing,1051
detailcanmod_antialiasing_quality,804
