// Cache 684 is Spanish and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 815 is still covered by 319, 485 and 1615.
activeclansettings_find_listened,393
activeclansettings_find_affined,482
activeclansettings_getclanname,26
activeclansettings_getallowunaffined,558
activeclansettings_getranktalk,357
activeclansettings_getrankkick,613
activeclansettings_getranklootshare,645
activeclansettings_getcoinshare,489
activeclansettings_getaffinedcount,864
activeclansettings_getaffineddisplayname,861
activeclansettings_getaffinedrank,795
activeclansettings_getaffinedmuted,524
activeclansettings_getbannedcount,406
activeclansettings_getbanneddisplayname,933
activeclansettings_getaffinedextrainfo,1052
activeclansettings_getcurrentowner_slot,172
activeclansettings_getreplacementowner_slot,274
activeclansettings_getaffinedslot,760
activeclansettings_getsortedaffinedslot,851
activeclansettings_getaffinedjoinruneday,763
activeclanchannel_find_listened,917
activeclanchannel_find_affined,25
activeclanchannel_getclanname,1173
activeclanchannel_getrankkick,729
activeclanchannel_getranktalk,9
activeclanchannel_getusercount,341
activeclanchannel_getuserdisplayname,320
activeclanchannel_getuserrank,464
activeclanchannel_getuserworld,1000
activeclanchannel_getuserslot,1111
activeclanchannel_getsorteduserslot,1012
clanprofile_find,340
stockmarket_getoffertype,706
stockmarket_getofferitem,639
stockmarket_getofferprice,1065
stockmarket_getoffercount,944
stockmarket_getoffercompletedcount,596
stockmarket_getoffercompletedgold,1059
stockmarket_isofferempty,814
stockmarket_isofferstable,1054
stockmarket_isofferfinished,635
stockmarket_isofferadding,181
add,1006
sub,775
multiply,1040
divide,65
random,411
randominc,1095
interpolate,509
addpercent,587
setbit,178
clearbit,1051
testbit,436
modulo,1165
pow,832
invpow,736
and,516
or,755
min,365
max,407
scale,1104
random_sound_pitch,394
hsvtorgb,1189
not,916
append_num,790
append,1153
append_signnum,1178
get_col_tag,157
lowercase,592
fromdate,1116
text_gender,104
tostring,319
compare,1057
paraheight,841
parawidth,136
text_switch,164
escape,18
append_char,457
char_isprintable,724
char_isalphanumeric,1062
char_isalpha,1070
char_isnumeric,273
string_length,188
substring,888
removetags,1156
string_indexof_char,1053
string_indexof_string,505
char_tolowercase,668
char_touppercase,203
tostring_localised,325
stringwidth,700
string_distance,769
format_datetime_from_minutes,243
clanforumqfc_tostring,189
oc_name,159
oc_op,738
oc_iop,767
oc_cost,623
oc_stackable,1157
oc_category,491
oc_hasvarobj,66
oc_cert,37
oc_uncert,997
oc_shard,880
oc_unshard,196
oc_shardcount,228
oc_wearpos,380
oc_wearpos2,137
oc_wearpos3,732
oc_members,219
oc_param,392
oc_icursor,466
oc_multistacksize,250
oc_find,982
oc_findnext,544
oc_minimenu_colour_overridden,728
oc_minimenu_colour,563
nc_param,239
lc_param,1137
struct_param,911
seq_param,593
seqlength,315
bas_getanim_ready,430
chat_getfilter_public,1056
chat_gethistory_bytypeandline,237
chat_gethistory_byuid,514
chat_getfilter_private,470
chat_playername,140
chat_getfilter_trade,965
chat_gethistorylength,891
chat_getnextuid,777
chat_getprevuid,441
chat_playername_unfiltered,551
chatcat_getdesc,1164
chatcat_getsubcatcount,296
chatcat_getsubcat,295
chatcat_getphrasecount,652
chatcat_getphrase,570
chatphrase_gettext,500
chatphrase_getautoresponsecount,277
chatphrase_getautoresponse,618
chatcat_getsubcatshortcut,903
chatcat_getphraseshortcut,165
chatcat_findsubcatbyshortcut,360
chatcat_findphrasebyshortcut,221
chatphrase_getdynamiccommandcount,322
chatphrase_getdynamiccommand,713
